gallery_name,gallery_homepage,gallery_events,gallery_about,address,opening_hours,instagram,facebook,manually checked
Art in House,https://artinhouse.pl/,https://artinhouse.pl/pl/wystawy/aktualne,https://artinhouse.pl/pl/sklep/o-nas,"u; Al. Jerozolimskie 107, 02-011 Warszawa ","Poniedziałek - Sobota: 9:00 - 18:00
Niedziela: nieczynne",https://www.instagram.com/artinhouse.auctionhouse/,https://www.facebook.com/ArtinHousePL/,✅
Aspekty Gallery,https://www.aspektygallery.pl/,https://www.aspektygallery.pl/wystawy,https://www.aspektygallery.pl/o-galerii,"ul. Aleje Ujazdowskie 16, 00-478 Warszawa","Środa - Piątek 12.00–19.00
Sobota 14.00–18.00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/aspekty_gallery/,https://www.facebook.com/aspekty,✅
Biuro Wystaw,http://biurowystaw.pl/strona-domowa/,http://biurowystaw.pl/aktualne/,http://biurowystaw.pl/about/,"ul. Krakowskie Przedmieście 16/18, lok. 4
00-325 Warszawa","Środa - Piątek: 12:00 - 18:00
Sobota: on appointment 
Niedziela - Wtorek: nieczynne",https://www.instagram.com/biurowystaw/,https://www.facebook.com/BiuroWystaw,✅
bliss Gallery,https://blissgallery.pl/,https://blissgallery.pl/wystawy/,https://blissgallery.pl/o-nas/,"ul. Szpitalna 5/7, 00‑031 Warszawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/bliss_warsaw?igsh=MWZqaHBkYjk4OGJ4cg%3D%3D,https://www.facebook.com/BlissGalleryWarsaw,✅
BWA Warszawa,https://bwawarszawa.pl/,https://bwawarszawa.pl/exhibitions/,https://bwawarszawa.pl/about/,"ul. Marszałkowska 34/50/666
00-554 Warsaw","Wtorek - Piątek: 12:00 - 19:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/bwawarszawa,https://www.facebook.com/BWAWarszawa,✅
Ciacek,https://ciacekgallery.com/,https://ciacekgallery.com/#exhibitions,https://ciacekgallery.com/about/,"ul. Szpitalna 6a/9, 00-031 Warszawa","Czwartek - Piątek: 11:30 - 18:00
Sobota: 12:00 - 15:00
Niedziela - Środa: nieczynne",https://www.instagram.com/ciacek_gallery/,-,✅
Common Arts Foundation,https://commonartsfoundation.com/,https://commonartsfoundation.com/pl/wystawy,https://commonartsfoundation.com/pl/o-fundacji,"ul. Sienna 83/802, 00-815 Warszawa","Wtorek - Środa: 10:00 - 16:00
Czwartek: 10:00 - 18:00
Piątek - Sobota: on appointment 
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/commonartsfoundation,https://www.facebook.com/commonartsfoundation,✅
Dawid Radziszewski Gallery,https://dawidradziszewski.com/,https://dawidradziszewski.com/wystawy/,https://pl.wikipedia.org/wiki/Dawid_Radziszewski,"ul. Kolejowa 47a/U13
01-210 Warsaw, Poland","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/dawidradziszewskigallery/,https://www.facebook.com/GaleriaDawidRadziszewski/,✅
DSH Gallery,https://dsh.waw.pl/,https://dsh.waw.pl/wystawy/,https://dsh.waw.pl/o-nas/dom-spotkan-z-historia/,"ul. Karowa 20, 00-324 Warszawa","Wtorek - Piątek: 10:00 - 20:00
Sobota - Niedziela: 12:00 - 20:00
Poniedziałek: nieczynne",https://www.instagram.com/dsh.waw.pl/,https://www.facebook.com/DomSpotkanzHistoria,✅
Ewa Opałka Gallery,https://ewaopalkagallery.com/,n/a,n/a,"ul. Nowolipki 2, 00-160 Warsaw","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek:nieczynne",https://www.instagram.com/ewa.opalka.gallery/,https://www.facebook.com/people/Galeria-Ewa-Opa%C5%82ka/61563815854341/,✅
Fundacja Archeologia Fotografii,https://faf.org.pl/,https://faf.org.pl/category/wystawy/,https://faf.org.pl/kontakt/,"ul. Chłodna 20, 00-891 Warszawa ","Poniedziałek: nieczynne
Wtorek: 11:00 - 17:00 
Środa - Czwartek: 11:00 - 19:00
Piątek : nieczynne
Sobota - Niedziela: 11:00 - 19:00",https://www.instagram.com/archeologia_fotografii/,https://www.facebook.com/archeologiafotografii,✅
