gallery_name,gallery_homepage,gallery_events,gallery_about,address,opening_hours,instagram,facebook,google_maps,google_share,manually checked
Art in House,https://artinhouse.pl/,https://artinhouse.pl/pl/wystawy/aktualne,https://artinhouse.pl/pl/sklep/o-nas,"ul. Al. Jerozolimskie 107, 02-011 Warszawa ","Poniedziałek - Sobota: 9:00 - 18:00
Niedziela: nieczynne",https://www.instagram.com/artinhouse.auctionhouse/,https://www.facebook.com/ArtinHousePL/,https://maps.app.goo.gl/Ms3ArZZAFG1FXKLM9,https://share.google/QK68IrVB93lGgIgmv,✅
Aspekty Gallery,https://www.aspektygallery.pl/,https://www.aspektygallery.pl/wystawy,https://www.aspektygallery.pl/o-galerii,"ul. Aleje Ujazdowskie 16, 00-478 Warszawa","Środa - Piątek 12.00–19.00
Sobota 14.00–18.00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/aspekty_gallery/,https://www.facebook.com/aspekty,https://maps.app.goo.gl/EmjjjYd12EDjWnNL8,https://share.google/AKNlEXNhDr75AzrWu,✅
Biuro Wystaw,http://biurowystaw.pl/strona-domowa/,http://biurowystaw.pl/aktualne/,http://biurowystaw.pl/about/,"ul. Krakowskie Przedmieście 16/18, lok. 4
00-325 Warszawa","Środa - Piątek: 12:00 - 18:00
Sobota: on appointment 
Niedziela - Wtorek: nieczynne",https://www.instagram.com/biurowystaw/,https://www.facebook.com/BiuroWystaw,https://maps.app.goo.gl/44Yr3vLwK7KyaANG8,https://share.google/jszg2VJfk70UzwiUy,✅
bliss Gallery,https://blissgallery.pl/,https://blissgallery.pl/wystawy/,https://blissgallery.pl/o-nas/,"ul. Szpitalna 5/7, 00‑031 Warszawa","Wtorek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/bliss_warsaw?igsh=MWZqaHBkYjk4OGJ4cg%3D%3D,https://www.facebook.com/BlissGalleryWarsaw,https://maps.app.goo.gl/bzA4aQCNyPo5wNM87,https://share.google/t5WuY4MD86VDyspjQ,✅
Borowik Foundation,https://borowikfoundation.com/,https://borowikfoundation.com/#events,https://borowikfoundation.com/#about,"ul. Katowicka 7/2
03-932 Warszawa","Piątek - Sobota: 12:00 - 18:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/borowikfoundation/,-,-,-,
BWA Warszawa,https://bwawarszawa.pl/,https://bwawarszawa.pl/exhibitions/,https://bwawarszawa.pl/about/,"ul. Marszałkowska 34/50/666
00-554 Warsaw","Wtorek - Piątek: 12:00 - 19:00
Sobota: 12:00 - 16:00
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/bwawarszawa,https://www.facebook.com/BWAWarszawa,https://maps.app.goo.gl/2vqa84CFdtSqfWXH7,https://share.google/ftcDYNNaQeM9HrMbq,✅
Centrum Nauki Kopernik,https://www.kopernik.org.pl/,https://www.kopernik.org.pl/o-nas/aktualnosci,-,"Wybrzeże Kościuszkowskie 20, 00-390 Warszawa","Poniedziałek - Czwartek: 09:00 - 18:00
Piątek: 09:00 - 20:00
Sobota - Niedziela: 09:00 - 19:00",https://www.instagram.com/centrum.nauki.kopernik/?hl=en,https://www.facebook.com/CentrumNaukiKopernik/,https://maps.app.goo.gl/HuCBhttwMyv5iFKi7,https://share.google/toSYWH4xS6hGY4rTO,
Centrum Sztuki Współczesnej Zamek Ujazdowski,https://u-jazdowski.pl/,https://u-jazdowski.pl/program/wystawy,https://u-jazdowski.pl/o-nas,"Jazdów 2, 00–467 Warszawa","Wtorek - Niedziela: 11:00 - 19:00
Czwartek: 11:00 - 20:00
Poniedziałki: nieczynne",https://www.instagram.com/u_jazdowski/,https://www.facebook.com/centrumsztukiwspolczesnejzamekujazdowski/,https://maps.app.goo.gl/zAghvqH7ZA1q66V38,https://share.google/rwJR0uJ6UDPJrYmUO,
Ciacek,https://ciacekgallery.com/,https://ciacekgallery.com/#exhibitions,https://ciacekgallery.com/about/,"ul. Szpitalna 6a/9, 00-031 Warszawa","Czwartek - Piątek: 11:30 - 18:00
Sobota: 12:00 - 15:00
Niedziela - Środa: nieczynne",https://www.instagram.com/ciacek_gallery/,-,https://maps.app.goo.gl/HV42hCdm7VJskMUN9,https://share.google/lVlADQ6jbgiSEonJv,✅
Common Arts Foundation,https://commonartsfoundation.com/,https://commonartsfoundation.com/pl/wystawy,https://commonartsfoundation.com/pl/o-fundacji,"ul. Sienna 83/802, 00-815 Warszawa","Wtorek - Środa: 10:00 - 16:00
Czwartek: 10:00 - 18:00
Piątek - Sobota: on appointment 
Niedziela - Poniedziałek: nieczynne",https://www.instagram.com/commonartsfoundation,https://www.facebook.com/commonartsfoundation,https://maps.app.goo.gl/u5wFNE54mGvcYJx16,https://share.google/doy7yqFL2mATLh7SQ,✅
